row_id,org_norm,subject,body,text
5,Enron,ehronline web address change,"this message is intended for ehronline users only .
due to a recent change to ehronline , the url ( aka "" web address "" ) for accessing ehronline needs to be changed on your computer . the change involves adding the letter "" s "" to the "" http "" reference in the url . the url for accessing ehronline should be : https : / / ehronline . enron . com .
this change should be made by those who have added the url as a favorite on the browser .","Subject: ehronline web address change
this message is intended for ehronline users only .
due to a recent change to ehronline , the url ( aka "" web address "" ) for accessing ehronline needs to be changed on your computer . the change involves adding the letter "" s "" to the "" http "" reference in the url . the url for accessing ehronline should be : https : / / ehronline . enron . com .
this change should be made by those who have added the url as a favorite on the browser ."
8,Enron,noms / actual flow for 2 / 26,"we agree
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on
02 / 27 / 2001
10 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" eileen ponton "" on 02 / 27 / 2001 09 : 46 : 26 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com ,
liz . bellamy @ enron . com
cc :
subject : noms / actual flow for 2 / 26
date nom flow - mcf flow - mmbtu
2 / 26 / 01 0 456 469
btu = 1 . 027","Subject: noms / actual flow for 2 / 26
we agree
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on
02 / 27 / 2001
10 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" eileen ponton "" on 02 / 27 / 2001 09 : 46 : 26 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com ,
liz . bellamy @ enron . com
cc :
subject : noms / actual flow for 2 / 26
date nom flow - mcf flow - mmbtu
2 / 26 / 01 0 456 469
btu = 1 . 027"
12,Enron,"enron / hpl actuals for august 28 , 2000","teco tap 20 . 000 / enron ; 120 . 000 / hpl gas daily
ls hpl lsk ic 20 . 000 / enron","Subject: enron / hpl actuals for august 28 , 2000
teco tap 20 . 000 / enron ; 120 . 000 / hpl gas daily
ls hpl lsk ic 20 . 000 / enron"
1,Xls,"hpl nom for january 9 , 2001","( see attached file : hplnol 09 . xls )
- hplnol 09 . xls","Subject: hpl nom for january 9 , 2001
( see attached file : hplnol 09 . xls )
- hplnol 09 . xls"
9,Xls,"nominations for oct . 21 - 23 , 2000","( see attached file : hplnl 021 . xls )
- hplnl 021 . xls","Subject: nominations for oct . 21 - 23 , 2000
( see attached file : hplnl 021 . xls )
- hplnl 021 . xls"
22,Xls,"hpl nom for january 25 , 2001","( see attached file : hplnol 26 . xls )
- hplnol 26 . xls","Subject: hpl nom for january 25 , 2001
( see attached file : hplnol 26 . xls )
- hplnol 26 . xls"
4,Teco,re : indian springs,"this deal is to book the teco pvr revenue . it is my understanding that teco
just sends us a check , i haven ' t received an answer as to whether there is a
predermined price associated with this deal or if teco just lets us know what
we are giving . i can continue to chase this deal down if you need .","Subject: re : indian springs
this deal is to book the teco pvr revenue . it is my understanding that teco
just sends us a check , i haven ' t received an answer as to whether there is a
predermined price associated with this deal or if teco just lets us know what
we are giving . i can continue to chase this deal down if you need ."
12,Teco,"enron / hpl actuals for august 28 , 2000","teco tap 20 . 000 / enron ; 120 . 000 / hpl gas daily
ls hpl lsk ic 20 . 000 / enron","Subject: enron / hpl actuals for august 28 , 2000
teco tap 20 . 000 / enron ; 120 . 000 / hpl gas daily
ls hpl lsk ic 20 . 000 / enron"
25,Teco,"re : enron / hpl actuals for october 11 , 2000 - revision","please note that the pricing allocation of volumes for october 11 , 2000 should
be changed as follows .
teco tap 40 . 000 / enron ; 25 . 209 / hpl iferc ; 84 . 791 / hpl gas daily
the total nomination of 775 . 000 subject to the iferc pricing was completed on
october 11 , 2000 . all remaining gas purchases under the hpl contract ( k # 3949 )
will be at the gas daily pricing .
thanks ,
ccs
charlie stone
10 / 13 / 2000 03 : 04 pm
to : gary green / texas utilities @ tu , daren . j . farmer @ enron . com ,
gary . a . hanks @ enron . com , carlos . j . rodriguez @ enron . com ,
earl . tisdale @ enron . com , ami . chokshi @ enron . com , david
avila / lsp / enserch / us @ tu
cc :
subject : enron / hpl actuals for october 12 , 2000 - revision
all gas nominated at iferc pricing for the month has been taken . remaining
purchases under k # 3949 will be at the gas daily pricing .
teco tap 40 . 000 / enron ; 110 . 000 / hpl gas daily
- - - - - - - - - - - - - - - - - - - - - - forwarded by charlie stone / texas utilities on
10 / 13 / 2000
02 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
gary green
10 / 13 / 2000 10 : 04 am
to : charlie stone / texas utilities @ tu , gary green / texas utilities @ tu ,
daren . j . farmer @ enron . com , gary . a . hanks @ enron . com ,
carlos . j . rodriguez @ enron . com , earl . tisdale @ enron . com ,
ami . chokshi @ enron . com , david avila / lsp / enserch / us @ tu
cc :
subject : enron / hpl actuals for october 12 , 2000
teco tap 40 . 000 / enron ; 110 . 000 / hpl iferc","Subject: re : enron / hpl actuals for october 11 , 2000 - revision
please note that the pricing allocation of volumes for october 11 , 2000 should
be changed as follows .
teco tap 40 . 000 / enron ; 25 . 209 / hpl iferc ; 84 . 791 / hpl gas daily
the total nomination of 775 . 000 subject to the iferc pricing was completed on
october 11 , 2000 . all remaining gas purchases under the hpl contract ( k # 3949 )
will be at the gas daily pricing .
thanks ,
ccs
charlie stone
10 / 13 / 2000 03 : 04 pm
to : gary green / texas utilities @ tu , daren . j . farmer @ enron . com ,
gary . a . hanks @ enron . com , carlos . j . rodriguez @ enron . com ,
earl . tisdale @ enron . com , ami . chokshi @ enron . com , david
avila / lsp / enserch / us @ tu
cc :
subject : enron / hpl actuals for october 12 , 2000 - revision
all gas nominated at iferc pricing for the month has been taken . remaining
purchases under k # 3949 will be at the gas daily pricing .
teco tap 40 . 000 / enron ; 110 . 000 / hpl gas daily
- - - - - - - - - - - - - - - - - - - - - - forwarded by charlie stone / texas utilities on
10 / 13 / 2000
02 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
gary green
10 / 13 / 2000 10 : 04 am
to : charlie stone / texas utilities @ tu , gary green / texas utilities @ tu ,
daren . j . farmer @ enron . com , gary . a . hanks @ enron . com ,
carlos . j . rodriguez @ enron . com , earl . tisdale @ enron . com ,
ami . chokshi @ enron . com , david avila / lsp / enserch / us @ tu
cc :
subject : enron / hpl actuals for october 12 , 2000
teco tap 40 . 000 / enron ; 110 . 000 / hpl iferc"
38,Ami Chokshi Corp Enron,19 th noms on copanos,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 18 / 2000
11 : 11 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 01 / 18 / 2000 10 : 48 : 53 am
to : ami chokshi / corp / enron @ enron
cc :
subject : 19 th noms on copanos
( see attached file : hpl - jan . xls )
- hpl - jan . xls","Subject: 19 th noms on copanos
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 18 / 2000
11 : 11 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 01 / 18 / 2000 10 : 48 : 53 am
to : ami chokshi / corp / enron @ enron
cc :
subject : 19 th noms on copanos
( see attached file : hpl - jan . xls )
- hpl - jan . xls"
